racenum,startnum,horsename,driver,trainer,playpercent,moneywin,resrace1,pricesumrace1,resrace2,pricesumrace2,resrace3,pricesumrace3,resrace4,pricesumrace4,resrace5,pricesumrace5,winnernum,driver_id,trainer_id,rp1,rp2,rp3,rp4,rp5
1,1,Frodo Cash,Thomas Uhrberg,Steen Juul,6,1480305,1,30.0,1,30.0,3,30.0,4,30.0,4,30.0,99,28.0,149.0,0.03333333333333333,0.03333333333333333,0.1,0.13333333333333333,0.13333333333333333
1,2,Winner Brodde,Johan Untersteiner,Johan Untersteiner,28,963000,3,60.0,2,220.0,3,110.0,1,110.0,1,100.0,99,6.0,5.0,0.05,0.00909090909090909,0.02727272727272727,0.00909090909090909,0.01
1,3,Dominic Wibb,Dante Kolgjini,Adrian Kolgjini,15,1501112,1,125.0,2,250.0,1,125.0,6,125.0,2,125.0,99,107.0,102.0,0.008,0.008,0.008,0.048,0.016
1,4,Innovation Love,Robert Bergh,Robert Bergh,3,1457449,7,125.0,7,125.0,7,125.0,1,60.0,6,125.0,99,62.0,62.0,0.056,0.056,0.056,0.016666666666666666,0.048
1,5,Special Major,Magnus A Djuse,Mika Haapakangas,3,1492218,6,60.0,3,250.0,4,25.0,7,60.0,4,50.0,99,5.0,19.0,0.1,0.012,0.16,0.11666666666666667,0.08
1,6,Major Ass,Rick Ebbinge,Rick Ebbinge,12,1612566,2,250.0,7,125.0,1,125.0,8,125.0,5,30.0,99,9.0,8.0,0.008,0.056,0.008,0.064,0.16666666666666666
1,7,Randemar R.D.,Sofie Ericsson,Madeleine Nordström,4,1579650,1,125.0,3,150.0,3,60.0,2,30.0,6,50.0,99,229.0,564.0,0.008,0.02,0.05,0.06666666666666667,0.12
1,8,Eireann,Stefan Persson,Preben Sövik,2,1507750,4,40.0,6,100.0,9,30.0,9,200.0,9,100.0,99,0.0,3.0,0.1,0.06,0.3,0.045,0.09
1,9,Triton,Mats Gunnarsson,Mats Gunnarsson,18,1027400,1,40.0,9,220.0,1,30.0,1,110.0,1,40.0,99,290.0,463.0,0.025,0.04090909090909091,0.03333333333333333,0.00909090909090909,0.025
1,10,Red Mile Brodde,Victor Rosleff,Ola Karlsson,3,1500766,9,250.0,2,125.0,3,30.0,2,75.0,2,60.0,99,36.0,260.0,0.036,0.016,0.1,0.02666666666666667,0.03333333333333333
1,11,Game Brodde,Peter Untersteiner,Johan Untersteiner,5,1304000,6,125.0,1,125.0,9,125.0,8,125.0,5,100.0,99,19.0,5.0,0.048,0.008,0.072,0.064,0.05
2,1,Let Me In,Per Nordström,Per Nordström,14,285800,9,60.0,4,50.0,9,100.0,1,125.0,1,40.0,99,18.0,12.0,0.15,0.08,0.09,0.008,0.025
2,2,Rustico,Thomas Uhrberg,Thomas Uhrberg,9,273500,3,110.0,6,110.0,3,110.0,3,110.0,1,35.0,99,28.0,36.0,0.02727272727272727,0.05454545454545454,0.02727272727272727,0.02727272727272727,0.02857142857142857
2,3,Hellacopters,Johan Untersteiner,Johan Lejon,2,204500,7,25.0,5,35.0,3,40.0,6,40.0,4,25.0,99,6.0,642.0,0.28,0.14285714285714285,0.075,0.15,0.16
2,4,Gabriel Avenue,Christian Cracchiolo,Maria T Karlsson,3,272900,9,25.0,3,60.0,2,30.0,2,35.0,3,25.0,99,189.0,553.0,0.36,0.05,0.06666666666666667,0.05714285714285714,0.12
2,5,Vikens Cashflow,André Eklundh,Mikael Fellbrandt,3,220900,3,25.0,3,110.0,4,35.0,7,100.0,2,40.0,99,89.0,266.0,0.12,0.02727272727272727,0.11428571428571428,0.07,0.05
2,6,Börtas Ankare,Saga Laursen,Mimmi Elfstrand,14,255352,9,60.0,7,540.0,1,50.0,1,60.0,3,80.0,99,320.0,523.0,0.15,0.012962962962962963,0.02,0.016666666666666666,0.0375
2,7,Come Along,Max Karlsson,Kim Hagström,1,564000,4,40.0,9,40.0,9,40.0,1,35.0,7,40.0,99,335.0,369.0,0.1,0.225,0.225,0.02857142857142857,0.175
2,8,Hero Band,Magnus A Djuse,Thomas Jonsson,1,570900,5,25.0,7,40.0,5,25.0,9,10.0,2,30.0,99,5.0,252.0,0.2,0.175,0.2,0.9,0.06666666666666667
2,9,Hamilton Atout,Kevin Oscarsson,Hanna Lähdekorpi,4,507783,4,35.0,3,40.0,9,60.0,9,30.0,1,35.0,99,23.0,131.0,0.11428571428571428,0.075,0.15,0.3,0.02857142857142857
2,10,Cassius Clay D.E.,Stefan Persson,Linda Persson,38,564885,1,110.0,2,110.0,1,100.0,1,30.0,4,50.0,99,0.0,166.0,0.00909090909090909,0.01818181818181818,0.01,0.03333333333333333,0.08
2,11,Papa Crowe,Anders Schillström,Anders Schillström,1,471200,9,30.0,1,25.0,4,40.0,9,35.0,9,40.0,99,999.0,699.0,0.3,0.04,0.1,0.2571428571428571,0.225
2,12,Don't Disturb,Victor Rosleff,Anita Bakkegård Hansen,2,433354,4,60.0,2,35.0,5,30.0,4,40.0,2,30.0,99,36.0,999.0,0.06666666666666667,0.05714285714285714,0.16666666666666666,0.1,0.06666666666666667
2,13,Steady Victory,Gustav Johansson,Hanna Lähdekorpi,3,435401,4,30.0,4,40.0,1,35.0,4,50.0,5,35.0,99,8.0,131.0,0.13333333333333333,0.1,0.02857142857142857,0.08,0.14285714285714285
2,14,Bugatti Veyron,Carl Johan Jepson,Thomas Jonsson,4,500300,3,25.0,1,40.0,9,35.0,9,100.0,2,40.0,99,2.0,252.0,0.12,0.025,0.2571428571428571,0.09,0.05
2,15,Remburs R.D.,Svend Dyhrberg,Svend Dyhrberg,3,448035,2,30.0,6,60.0,2,40.0,3,40.0,5,40.0,99,14.0,13.0,0.06666666666666667,0.1,0.05,0.075,0.125
3,1,Heart of Steel,Peter Untersteiner,Johan Untersteiner,4,4423012,6,150.0,7,150.0,2,150.0,9,200.0,3,150.0,99,19.0,5.0,0.04,0.04666666666666667,0.013333333333333334,0.045,0.02
3,2,Festival of Speed,Thomas Uhrberg,Steen Juul,5,2818122,2,30.0,9,40.0,1,30.0,3,75.0,1,30.0,99,28.0,149.0,0.06666666666666667,0.225,0.03333333333333333,0.04,0.03333333333333333
3,3,Sweetman,Magnus A Djuse,Lars I Nilsson,35,2286900,1,60.0,7,150.0,2,150.0,1,40.0,5,150.0,99,5.0,169.0,0.016666666666666666,0.04666666666666667,0.013333333333333334,0.025,0.03333333333333333
3,4,Staro Leonardo,Joakim Lövgren,Joakim Lövgren,3,2699708,3,60.0,3,150.0,4,40.0,9,200.0,3,35.0,99,11.0,10.0,0.05,0.02,0.1,0.045,0.08571428571428572
3,5,Edibear,Stefan Persson,Linda Persson,16,2454900,1,150.0,5,150.0,5,40.0,9,150.0,9,250.0,99,0.0,166.0,0.006666666666666667,0.03333333333333333,0.125,0.06,0.036
3,6,Four Guys Dream,André Eklundh,Håkan K Persson,23,2664613,5,250.0,9,150.0,5,200.0,1,150.0,1,30.0,99,89.0,29.0,0.02,0.06,0.025,0.006666666666666667,0.03333333333333333
3,7,Digital Dominance,Ken Ecce,Tomas Malmqvist,1,1926094,2,60.0,9,300.0,7,200.0,4,150.0,9,30.0,99,12.0,117.0,0.03333333333333333,0.03,0.035,0.02666666666666667,0.3
3,8,Osterc,Torbjörn Simberg,Torbjörn Simberg,3,4824623,9,150.0,8,150.0,3,150.0,4,200.0,3,30.0,99,244.0,390.0,0.06,0.05333333333333334,0.02,0.02,0.1
3,9,Chapuy,Carl Philip Lindblom,Åke Lindblom,3,3310957,6,150.0,1,40.0,8,150.0,6,150.0,7,150.0,99,81.0,154.0,0.04,0.025,0.05333333333333334,0.04,0.04666666666666667
3,10,Ultion Face,Adrian Kolgjini,Adrian Kolgjini,7,2986879,9,300.0,3,200.0,2,150.0,9,400.0,2,100.0,99,78.0,102.0,0.03,0.015,0.013333333333333334,0.0225,0.02
4,1,Bonnie Wibb,Magnus A Djuse,Fredrik Wallin,7,310550,5,110.0,4,40.0,2,110.0,5,30.0,3,30.0,99,5.0,107.0,0.045454545454545456,0.1,0.01818181818181818,0.16666666666666666,0.1
