racenum,startnum,horsename,driver,trainer,playpercent,moneywin,resrace1,pricesumrace1,resrace2,pricesumrace2,resrace3,pricesumrace3,resrace4,pricesumrace4,resrace5,pricesumrace5,winnernum,driver_id,trainer_id,winner,rp1,rp2,rp3,rp4,rp5
1,2,King of Greenwood,Stefan Persson,Per Henriksen,13,810599,4,30.0,2,25.0,9,220.0,3,30.0,3,35.0,11,0,0,0,0.13333333333333333,0.08,0.04090909090909091,0.1,0.08571428571428572
1,3,Pappajonnys Ilse,Ulf Ohlsson,Mikael Eriksson,1,762800,9,40.0,9,110.0,9,30.0,1,35.0,5,35.0,11,1,1,0,0.225,0.08181818181818182,0.3,0.02857142857142857,0.14285714285714285
1,4,Jello W.,Carl Johan Jepson,Per Henriksen,6,687835,9,220.0,9,110.0,1,110.0,9,220.0,9,110.0,11,2,0,0,0.04090909090909091,0.08181818181818182,0.00909090909090909,0.04090909090909091,0.08181818181818182
1,5,Black in Black,Christian Fiore,Christian Fiore,1,841542,7,60.0,4,35.0,1,40.0,1,25.0,3,40.0,11,3,2,0,0.11666666666666667,0.11428571428571428,0.025,0.04,0.075
1,6,Bottnas Idol,Preben Sövik,Preben Sövik,47,747110,9,220.0,4,110.0,1,220.0,1,110.0,8,593.0,11,4,3,0,0.04090909090909091,0.03636363636363636,0.004545454545454545,0.00909090909090909,0.013490725126475547
1,7,Västerbo ImtheMan,Magnus A Djuse,Juhani Partanen,3,814502,7,110.0,6,40.0,9,40.0,3,30.0,3,25.0,11,5,4,0,0.06363636363636363,0.15,0.225,0.1,0.12
1,8,Ture L.A.,Johan Untersteiner,Johan Untersteiner,14,882029,8,110.0,3,60.0,2,40.0,1,35.0,7,110.0,11,6,5,0,0.07272727272727272,0.05,0.05,0.02857142857142857,0.06363636363636363
1,9,Draupner,Jesper Rydberg,Jesper Rydberg,6,622600,2,40.0,1,40.0,7,110.0,7,100.0,6,25.0,11,7,6,0,0.05,0.025,0.06363636363636363,0.07,0.24
1,11,Yuvaraj,Gustav Johansson,Håkan B Johansson,2,672400,6,220.0,9,110.0,2,110.0,2,35.0,3,40.0,11,8,7,1,0.02727272727272727,0.08181818181818182,0.01818181818181818,0.05714285714285714,0.075
1,12,Indigo,Rick Ebbinge,Rick Ebbinge,3,887290,3,110.0,9,110.0,2,150.0,9,110.0,1,60.0,11,9,8,0,0.02727272727272727,0.08181818181818182,0.013333333333333334,0.08181818181818182,0.016666666666666666
2,1,Nyras Lars R.,Christoffer Eriksson,Christoffer Eriksson,25,246000,1,30.0,1,35.0,9,110.0,9,110.0,2,150.0,11,10,9,0,0.03333333333333333,0.02857142857142857,0.08181818181818182,0.08181818181818182,0.013333333333333334
2,2,Rapid Pal,Joakim Lövgren,Joakim Lövgren,14,196224,9,30.0,9,110.0,1,50.0,1,50.0,1,25.0,11,11,10,0,0.3,0.08181818181818182,0.02,0.02,0.04
2,3,Alessio,Ken Ecce,Hans Henning Kristoffersen,9,179512,9,110.0,1,40.0,1,35.0,1,30.0,3,30.0,11,12,11,0,0.08181818181818182,0.025,0.02857142857142857,0.03333333333333333,0.1
2,4,Walk of Life,Erik Adielsson,Per Nordström,4,197650,4,40.0,6,35.0,1,35.0,6,100.0,1,35.0,11,13,12,0,0.1,0.17142857142857143,0.02857142857142857,0.06,0.02857142857142857
2,5,Böhmaren,Gustav Johansson,Håkan B Johansson,11,215700,3,110.0,1,25.0,1,30.0,1,40.0,5,40.0,11,8,7,0,0.02727272727272727,0.04,0.03333333333333333,0.025,0.125
2,6,Last Joke,Svend Dyhrberg,Svend Dyhrberg,2,211900,6,110.0,6,25.0,1,30.0,1,22.0,4,30.0,11,14,13,0,0.05454545454545454,0.24,0.03333333333333333,0.045454545454545456,0.13333333333333333
2,7,Humanity Pellini,Conrad Lugauer,Conrad Lugauer,4,170500,3,40.0,3,40.0,1,35.0,1,40.0,2,50.0,11,15,14,0,0.075,0.075,0.02857142857142857,0.025,0.04
2,8,Balzano da Quattro,Rolf Odén,Jenny Glans,1,195200,1,25.0,2,30.0,2,30.0,2,25.0,8,110.0,11,16,15,0,0.04,0.06666666666666667,0.06666666666666667,0.08,0.07272727272727272
2,9,Fosbury Zet,Linda Sedström,Magnus Jernemyr,2,245900,1,25.0,1,35.0,4,30.0,6,30.0,6,100.0,11,17,16,0,0.04,0.02857142857142857,0.13333333333333333,0.2,0.06
2,10,Fairplay,Per Nordström,Per Nordström,4,180500,3,40.0,1,40.0,2,40.0,9,125.0,2,50.0,11,18,12,0,0.075,0.025,0.05,0.072,0.04
2,11,Smile Silvio,Peter Untersteiner,Johan Untersteiner,20,195000,1,35.0,3,40.0,9,110.0,1,50.0,1,35.0,11,19,5,1,0.02857142857142857,0.075,0.08181818181818182,0.02,0.02857142857142857
2,12,Kaxig In,Johan Untersteiner,Johan Untersteiner,6,172000,9,150.0,9,150.0,4,125.0,1,40.0,1,40.0,11,6,5,0,0.06,0.06,0.032,0.025,0.025
3,1,Night Brodde,Conrad Lugauer,Conrad Lugauer,16,3459295,9,30.0,9,125.0,9,30.0,9,30.0,2,125.0,5,15,14,0,0.3,0.072,0.3,0.3,0.016
3,2,Vagabond Bi,Magnus A Djuse,David Persson,1,2159029,9,500.0,5,100.0,4,150.0,9,150.0,5,150.0,5,5,17,0,0.018,0.05,0.02666666666666667,0.06,0.03333333333333333
3,3,Beartime,Carl Johan Jepson,Helena Edlund,8,2405572,1,40.0,7,200.0,6,150.0,9,150.0,4,600.0,5,2,18,0,0.025,0.035,0.04,0.06,0.006666666666666667
3,4,Sahara Peyote,Hannu Torvinen,Mika Haapakangas,1,2326985,7,60.0,9,100.0,7,60.0,9,50.0,9,75.0,5,20,19,0,0.11666666666666667,0.09,0.11666666666666667,0.18,0.12
3,5,Rackham,Christoffer Eriksson,Christoffer Eriksson,20,2268989,3,60.0,8,200.0,9,30.0,2,30.0,9,30.0,5,10,9,1,0.05,0.04,0.3,0.06666666666666667,0.3
3,6,Dear Friend,Johan Untersteiner,Amanda Höynä,23,6535696,1,220.0,6,30.0,5,30.0,9,30.0,2,30.0,5,6,20,0,0.004545454545454545,0.2,0.16666666666666666,0.3,0.06666666666666667
3,7,Cicero T.G.,Magnus Teien Gundersen,Geir Vegard Gundersen,23,2247257,6,400.0,9,30.0,6,1500.0,2,30.0,9,30.0,5,21,21,0,0.015,0.3,0.004,0.06666666666666667,0.3
