racenum;startnum;horsename;driver;trainer;playpercent;moneywin;resrace1;pricesumrace1;resrace2;pricesumrace2;resrace3;pricesumrace3;resrace4;pricesumrace4;resrace5;pricesumrace5;winnernum
1;1;Frodo Cash;Thomas Uhrberg;Steen Juul;6;1480305;1;;1;;3;;4;;4;;99
1;2;Winner Brodde;Johan Untersteiner;Johan Untersteiner;28;963000;3;60;2;220;3;110;1;110;1;100;99
1;3;Dominic Wibb;Dante Kolgjini;Adrian Kolgjini;15;1501112;1;125;2;250;1;125;6;125;2;125;99
1;4;Innovation Love;Robert Bergh;Robert Bergh;3;1457449;7;125;7;125;7;125;1;60;6;125;99
1;5;Special Major;Magnus A Djuse;Mika Haapakangas;3;1492218;6;60;3;250;4;25;7;60;4;50;99
1;6;Major Ass;Rick Ebbinge;Rick Ebbinge;12;1612566;2;250;7;125;1;125;8;125;5;;99
1;7;Randemar R.D.;Sofie Ericsson;Madeleine Nordström;4;1579650;1;125;3;150;3;60;2;30;6;50;99
1;8;Eireann;Stefan Persson;Preben Sövik;2;1507750;4;40;6;100;k;;d;200;d;100;99
1;9;Triton;Mats Gunnarsson;Mats Gunnarsson;18;1027400;1;40;0;220;1;30;1;110;1;40;99
1;10;Red Mile Brodde;Victor Rosleff;Ola Karlsson;3;1500766;0;250;2;125;3;30;2;75;2;60;99
1;11;Game Brodde;Peter Untersteiner;Johan Untersteiner;5;1304000;6;125;1;125;d;125;8;125;5;100;99
2;1;Let Me In;Per Nordström;Per Nordström;14;285800;d;60;4;50;d;100;1;125;1;40;99
2;2;Rustico;Thomas Uhrberg;Thomas Uhrberg;9;273500;3;110;6;110;3;110;3;110;1;35;99
2;3;Hellacopters;Johan Untersteiner;Johan Lejon;2;204500;7;25;5;35;3;40;6;40;4;25;99
2;4;Gabriel Avenue;Christian Cracchiolo;Maria T Karlsson;3;272900;d;25;3;60;2;30;2;35;3;25;99
2;5;Vikens Cashflow;André Eklundh;Mikael Fellbrandt;3;220900;3;25;3;110;4;35;7;100;2;40;99
2;6;Börtas Ankare;Saga Laursen;Mimmi Elfstrand;14;255352;d;60;7;540;1;50;1;60;3;80;99
2;7;Come Along;Max Karlsson;Kim Hagström;1;564000;4;40;0;40;0;40;1;35;7;40;99
2;8;Hero Band;Magnus A Djuse;Thomas Jonsson;1;570900;5;25;7;40;5;25;0;10;2;30;99
2;9;Hamilton Atout;Kevin Oscarsson;Hanna Lähdekorpi;4;507783;4;35;3;40;d;60;d;30;1;35;99
2;10;Cassius Clay D.E.;Stefan Persson;Linda Persson;38;564885;1;110;2;110;1;100;1;30;4;50;99
2;11;Papa Crowe;Anders Schillström;Anders Schillström;1;471200;0;30;1;25;4;40;d;35;d;40;99
2;12;Don't Disturb;Victor Rosleff;Anita Bakkegård Hansen;2;433354;4;60;2;35;5;;4;40;2;;99
2;13;Steady Victory;Gustav Johansson;Hanna Lähdekorpi;3;435401;4;30;4;40;1;35;4;50;5;35;99
2;14;Bugatti Veyron;Carl Johan Jepson;Thomas Jonsson;4;500300;3;25;1;40;d;35;0;100;2;40;99
2;15;Remburs R.D.;Svend Dyhrberg;Svend Dyhrberg;3;448035;2;30;6;60;2;40;3;40;5;40;99
3;1;Heart of Steel;Peter Untersteiner;Johan Untersteiner;4;4423012;6;150;7;150;2;150;d;200;3;150;99
3;2;Festival of Speed;Thomas Uhrberg;Steen Juul;5;2818122;2;;0;40;1;;3;75;1;;99
3;3;Sweetman;Magnus A Djuse;Lars I Nilsson;35;2286900;1;60;7;150;2;150;1;40;5;150;99
3;4;Staro Leonardo;Joakim Lövgren;Joakim Lövgren;3;2699708;3;60;3;150;4;40;d;200;3;35;99
3;5;Edibear;Stefan Persson;Linda Persson;16;2454900;1;150;5;150;5;40;0;150;0;250;99
3;6;Four Guys Dream;André Eklundh;Håkan K Persson;23;2664613;5;250;d;150;5;200;1;150;1;;99
3;7;Digital Dominance;Ken Ecce;Tomas Malmqvist;1;1926094;2;60;0;300;7;200;4;150;0;;99
3;8;Osterc;Torbjörn Simberg;Torbjörn Simberg;3;4824623;0;150;8;150;3;150;4;200;3;30;99
3;9;Chapuy;Carl Philip Lindblom;Åke Lindblom;3;3310957;6;150;1;40;8;150;6;150;7;150;99
3;10;Ultion Face;Adrian Kolgjini;Adrian Kolgjini;7;2986879;0;300;3;200;2;150;0;400;2;100;99
4;1;Bonnie Wibb;Magnus A Djuse;Fredrik Wallin;7;310550;5;110;4;40;2;110;5;30;3;30;99
4;2;Lucia di Quattro;Mathias Alm;Louise Frumerie;1;333900;4;30;2;30;5;35;4;30;6;60;99
4;3;Kovi Stream;André Eklundh;Rick Ebbinge;9;299062;5;60;2;40;1;30;3;40;5;35;99
4;4;M.T.Tomorrows Hope;Thomas Uhrberg;Anders Svanstedt;14;324000;1;110;0;110;1;30;0;50;4;50;99
4;5;Elva Rapid;Victor Rosleff;Anders Svanstedt;2;324800;d;110;3;30;0;35;1;40;0;40;99
4;6;Take Me Sober;Robert Bergh;Emma Bjerkås;4;276500;5;60;7;40;0;;k;;2;40;99
4;7;Xia Lloyd;Adrian Kolgjini;Adrian Kolgjini;24;310000;1;50;2;110;1;40;2;30;0;150;99
4;8;High Hope Lee;Stefan Persson;Lars I Nilsson;4;309500;4;30;d;40;8;110;1;35;1;40;99
4;9;Momimhome;Iivari Nurminen;Anssi Nurminen;1;212362;0;30;4;30;5;40;0;40;2;30;99
4;10;Cypress Point;Ken Ecce;Tomas Malmqvist;10;339400;4;110;1;30;0;40;1;60;6;300;99
4;11;Random Tile;Gustav Johansson;Lars I Nilsson;2;228839;7;60;d;40;0;100;1;25;2;40;99
4;12;Eva Kant Gar;Jennifer L Oscarsson;Magnus Dahlén;3;324500;7;110;3;40;2;60;1;100;0;40;99
4;13;LaFerrari Dimanche;Rick Ebbinge;Rick Ebbinge;14;817500;2;60;2;110;1;60;4;30;d;10;99
4;14;Capiroska Font;Carl Johan Jepson;Björn Goop;4;778551;0;;2;;2;;1;;d;;99
5;1;Mister Twister;Wilma Karlsson;Jerry Riordan;3;141400;4;60;2;25;3;40;1;40;4;40;99
5;2;Balder Face;Linda Sedström;Sofia Aronsson;6;195900;d;25;2;25;1;40;2;30;1;10;99
5;3;Knock Boots Mearas;Svend Dyhrberg;Tony Jönsson;10;246000;1;110;2;25;2;30;3;50;3;40;99
5;4;Careful Dream;Gustav Johansson;Ulrika Vikström;4;227500;4;35;6;110;1;40;1;30;d;30;99
5;5;Patricia Bo;Ken Ecce;Ken Ecce;7;233198;d;110;4;110;1;50;3;30;1;30;99
5;6;Kipketer Mearas;Magnus A Djuse;Ulf Stenströmer;21;245000;1;60;2;50;4;60;1;40;1;30;99
5;7;Cardin;Carl Johan Jepson;Jonas Gylling;7;210500;1;60;0;30;3;30;1;10;0;25;99
5;8;Caton;Thomas Linder;Ronny Jönsson;14;221700;1;30;1;35;2;35;1;30;3;35;99
5;9;Vancouver High;Stefan Persson;Lars I Nilsson;17;174400;2;60;d;110;d;110;2;60;1;40;99
5;10;Kaviaren;Thomas Uhrberg;Håkan K Persson;4;182000;2;30;4;35;6;60;1;30;1;30;99
5;11;Pontiac;Christina Tilp;Christina Tilp;4;245894;1;;3;;8;110;2;35;1;;99
5;12;Qillerbee;Joakim Lövgren;Joakim Lövgren;4;242800;3;35;2;30;1;40;d;110;1;25;99
6;1;Frankie Godiva;Markus Waldmüller;Conrad Lugauer;15;809500;1;35;1;40;6;110;3;110;1;30;99
6;2;Luca Vialli Boko;Magnus A Djuse;Ulf Stenströmer;5;764800;1;60;0;100;0;100;1;30;2;75;99
6;3;Mellby Indigo;Robert Bergh;Robert Bergh;4;788500;8;250;3;40;4;150;d;540;2;60;99
6;4;So Far Away Ås;André Eklundh;Hanna Lähdekorpi;2;840100;2;60;0;60;5;30;6;40;3;30;99
6;5;Here's Johnny Sox;Adrian Kolgjini;Lars I Nilsson;19;691544;d;60;0;110;1;220;1;110;2;110;99
6;6;That's it;Claes Svensson;Claes Svensson;11;705800;1;25;3;40;1;60;4;100;1;50;99
6;7;Tyson Dimanche;Giuseppe Lubrano;Magnus Dahlén;2;820900;1;10;0;30;0;40;3;10;2;10;99
6;8;Lucifer Boko;Carl Johan Jepson;Jerry Riordan;4;888406;1;40;6;110;4;110;4;;3;110;99
6;9;Judge D.;Stefan Persson;Ola Samuelsson;14;707000;3;110;1;100;1;40;3;40;3;200;99
6;10;Black Fire;Gustav Johansson;Gustav Johansson;5;751401;3;60;2;110;2;100;1;40;2;40;99
6;11;Beachcomber;Joakim Lövgren;Joakim Lövgren;5;644873;1;40;7;60;2;60;1;30;2;25;99
6;12;Moses Boko;Rick Ebbinge;Rick Ebbinge;14;729237;3;220;1;60;1;60;2;110;7;60;99
7;1;Utah Southwind;Magnus A Djuse;Ulf Stenströmer;21;499697;3;110;1;110;1;100;5;100;7;;99
7;2;Gasparito;Mikko Aho;Mikko Aho;3;430585;5;110;1;40;6;110;3;110;2;60;99
7;3;Brain Game;Stefan Persson;Magnus R Johansson;3;369400;1;60;d;100;0;50;5;100;1;60;99
7;4;Big Best Helvin;André Eklundh;Jerry Riordan;5;325141;1;25;1;60;2;30;1;30;2;10;99
7;5;Maserati Hall;Carl Johan Jepson;Fredrik Wallin;15;421500;2;100;2;300;3;150;2;60;1;40;99
7;6;Shejk;Adrian Kolgjini;Adrian Kolgjini;13;476400;1;60;0;110;1;40;2;30;4;40;99
7;7;Call Me Gleipner;Johan Untersteiner;Johan Untersteiner;10;308000;3;300;1;40;3;40;1;40;0;150;99
7;8;Fabror Melker;Max Karlsson;Magnus Pettersson;4;482500;2;110;2;100;1;40;3;50;6;30;99
7;9;Con Padre;Gustav Johansson;Hanna Lähdekorpi;4;398100;1;30;3;60;1;60;3;60;4;30;99
7;10;No Talking You;Peter Untersteiner;Johan Untersteiner;13;398360;4;110;1;60;1;100;1;50;2;40;99
7;11;Sabani;Jennifer L Oscarsson;Magnus Dahlén;4;305800;2;30;1;110;1;35;1;30;d;30;99
7;12;Global Difference;Joakim Lövgren;Joakim Lövgren;5;449000;5;220;4;110;1;50;1;50;2;35;99
